id,value,location,kills,health,lat
228,2006-08-24,Close,4,Yes,44.49022039
229,2006-03-25,na,9,No,47.6229
230,2006-01-30,Close,7,Yes,34.43606107
231,2005-03-21,Close,14,Yes,47.87067289
232,2005-03-12,Close,11,No,43.06396691
233,2005-02-24,Open,6,Unknown,32.3154272
234,2004-12-08,Open+Close,11,Yes,39.98861445
235,2004-11-21,Open,8,No,45.65773714
236,2003-08-27,Close,6,No,41.83928045
237,2003-07-08,Close,15,Yes,32.376081
240,2002-01-16,Close,6,No,37.27537712
241,2001-03-05,Close,15,No,32.86357277
242,2001-02-05,Close,9,No,41.90289602
243,2000-12-26,Close,7,Yes,42.506484
244,1999-12-30,Open+Close,8,No,27.99601861
245,1999-12-06,Close,4,No,35.77669911
246,1999-11-02,Close,7,Yes,21.3255125
247,1999-09-15,Close,14,Yes,32.74802142
248,1999-07-29,Close,21,Yes,33.7629969
249,1999-05-20,na,6,No,33.66086267
250,1999-04-20,na,37,Yes,39.59358263
251,1998-10-06,Close,6,No,33.93814348
252,1998-05-21,Close,29,Yes,44.05489698
253,1998-04-24,Close,4,Yes,41.87617136
254,1998-03-24,Close,15,No,35.8209895
255,1998-03-06,Close,4,Yes,41.68700845
257,1997-12-18,Close,6,No,33.78935598
258,1997-12-01,na,8,Yes,37.08506
259,1997-10-01,Close,9,Yes,32.27492783
260,1997-09-15,Open+Close,7,No,33.47524551
261,1997-02-19,Close,4,Yes,60.79053882
263,1996-02-09,na,7,Yes,26.1223084
264,1996-02-02,Close,4,Yes,47.12189424
266,1995-04-03,Close,5,No,27.73907518
267,1995-03-21,Close,5,No,40.826184
268,1995-01-26,Open,4,Yes,35.92681467
269,1994-12-30,Close,7,Yes,42.32427392
270,1994-11-07,Close,4,Yes,41.60713735
271,1994-06-20,Close,27,Yes,47.618456
272,1994-05-26,Close,4,No,38.95130818
274,1993-12-14,Close,5,Yes,39.69892933
275,1993-12-07,Close,25,No,40.72662266
276,1993-09-17,Close,4,No,44.79051074
277,1993-08-06,Close,12,No,35.07997086
279,1993-07-01,Close,14,No,37.75457839
281,1993-05-06,Open+Close,6,Yes,33.47316083
282,1992-12-14,Close,6,No,42.19358268
283,1992-10-15,Close,4,No,42.38013875
284,1992-09-11,na,6,Unknown,35.18322484
285,1992-05-01,Close,14,Yes,39.08174985
286,1991-11-14,Close,9,Yes,42.50840203
287,1991-11-01,Close,6,No,41.65589405
288,1991-10-16,Open,43,Yes,31.07925506
290,1991-08-09,Close,9,No,33.57145875
291,1990-06-17,na,17,No,30.33216122
292,1989-09-14,Close,20,Yes,38.249432
293,1989-08-10,Close,4,No,33.13439925
294,1989-01-17,Close,35,Yes,37.96631812
295,1988-12-14,Close,4,Unknown,30.0687242
296,1988-09-26,Close,11,Yes,34.1928952
297,1988-09-22,Open+Close,6,No,41.83928045
298,1988-05-20,Close,8,Yes,42.10648807
299,1988-02-16,Open+Close,11,Yes,37.38344257
301,1987-04-23,Open,20,Yes,27.98388983
302,1986-12-04,Close,4,Yes,47.03740653
303,1986-08-20,Close,20,Yes,35.66889223
304,1986-08-12,Close,5,Yes,40.679276
306,1985-01-21,Close,4,Yes,37.67129418
307,1984-07-18,Close,40,Yes,32.555556
308,1984-06-29,Close,7,Yes,32.79480596
309,1984-02-24,Open,14,Yes,34.17622092
310,1983-08-19,Close,4,Yes,33.83272887
311,1983-02-18,Close,14,Unknown,47.62199575
312,1982-08-20,Close,11,Yes,25.79653943
314,1979-10-06,Close,7,Unknown,34.05098834
315,1979-01-29,Open,11,Yes,32.86357277
316,1976-07-12,Close,9,Yes,33.88404244
317,1976-02-19,Close,8,Unknown,34.17622092
318,1974-12-30,Open+Close,10,No,42.08185369
319,1974-01-17,Close,4,Yes,41.83928045
320,1972-12-31,na,22,Yes,30.0687242
321,1971-11-11,Close,5,Yes,47.67367375
322,1966-11-12,Close,6,Yes,33.42268696
323,1966-08-01,Close,48,Yes,30.1988873
323,1966-01-01,Close,0,Yes,30.1988873
